gpslati,gpslong,nodeid,nodenm,nodeno
37.399,126.9214667,GGB208000065,안양1번가.안양고용센터,9146
37.3960833,126.9239167,GGB208000066,남부시장,9153
37.3998667,126.9234333,GGB208000067,안양역,9152
37.3997833,126.9237667,GGB208000068,안양역,9154
37.40145,126.9222333,GGB208000069,안양역,9213
37.4158667,126.9074833,GGB208000070,석수현대아파트,9068
37.4126833,126.9101,GGB208000071,농협.KT석수지점,9092
37.4105833,126.9118833,GGB208000072,안양대교앞,9102
37.4092,126.9112333,GGB208000073,안양대교,9097
37.4083167,126.90785,GGB208000074,럭키아파트,9069
37.4063167,126.9083167,GGB208000075,박석교.삼정빌라,9076
37.4053,126.90895,GGB208000076,박달시장,9079
37.4038,126.9098667,GGB208000077,박달동행정복지센터,9091
37.4061667,126.8854,GGB208000078,호현마을,9006
37.4092167,126.8830833,GGB208000079,친목마을,9002
37.3821,126.93575,GGB208000080,명학초교,9201
37.3784167,126.9394833,GGB208000081,미도아파트.메트로병원,9224
37.3784667,126.9388667,GGB208000082,미도아파트.메트로병원,9208
37.3816333,126.9356167,GGB208000083,명학초교,9202
37.3833167,126.9390667,GGB208000084,명학대교,9209
37.3843333,126.9332333,GGB208000085,성결대학교.안양아트센터.명학역,9189
37.3869,126.9310833,GGB208000086,만안구청,9179
37.38975,126.92875,GGB208000087,안양센트럴헤센.KCC스위첸,9171
37.4062,126.90815,GGB208000088,박석교.삼정빌라,9071
37.4108667,126.9111833,GGB208000089,안양대교,9098
37.4143333,126.9082333,GGB208000090,석수시장.석수현대아파트,9073
37.41755,126.9086167,GGB208000091,석수현대아파트,9077
37.4188333,126.9086833,GGB208000092,관악역,9078
37.4226333,126.9057333,GGB208000093,석수체육공원.자동차학원.원태우지사의거지,9059
37.4312,126.9038167,GGB208000094,대림.LG.힐스테이트아파트(중),9054
37.3945167,126.92635,GGB208000095,우체국사거리.안양초교.중화한방병원,9161
37.4090667,126.8937833,GGB208000096,충훈부종점,9014
37.4079167,126.8951,GGB208000097,청란공원,9019
37.4073,126.8964333,GGB208000098,용강빌라,9027
37.4077333,126.8986,GGB208000099,충훈동행정복지센터.코오롱하늘채아파트,9032
37.4074,126.9000167,GGB208000100,석수초등학교,9037
37.4067667,126.9021167,GGB208000101,석수아이파크,9049
37.4085,126.9078,GGB208000102,럭키아파트,9070
37.4093,126.9110333,GGB208000103,안양대교,9096
37.4067833,126.915,GGB208000104,만안초교,9123
37.40395,126.91735,GGB208000105,안양여중고,9131
37.4065833,126.9020833,GGB208000106,석수아이파크,9043
37.40725,126.8999,GGB208000107,석수초등학교,9036
37.4075667,126.8988333,GGB208000108,충훈동행정복지센터.코오롱하늘채아파트,9031
37.4071,126.8960333,GGB208000109,용강빌라,9023
37.4080833,126.8947167,GGB208000110,청란공원,9016
37.4091,126.8835,GGB208000112,친목마을,9003
37.4072333,126.8849667,GGB208000113,호현마을,9212
37.3947833,126.9261833,GGB208000114,우체국사거리.안양초교.중화한방병원,9162
37.3971333,126.9306167,GGB208000115,안양역푸르지오더샵.비산대교,9177
37.42975,126.9043333,GGB208000116,대림.LG.힐스테이트아파트(중),9056
37.422,126.9065833,GGB208000117,원태우지사의거지.석수체육공원.자동차학원,9060
37.4181167,126.9070667,GGB208000118,동아제약물류센터,9064
37.3846667,126.9349833,GGB208000119,명학역,9199
37.388,126.9337667,GGB208000120,평성교회.호정타워,9192
37.3910667,126.9321,GGB208000121,주접지하도.삼익아파트,9185
37.3937667,126.93,GGB208000122,하이트타운아파트,9175
37.3966833,126.9266167,GGB208000123,남부시장,9163
37.3971833,126.92635,GGB208000124,남부시장,9164
37.3936333,126.93045,GGB208000125,하이트타운아파트,9176
37.3916333,126.9319833,GGB208000126,주접지하도.삼익아파트,9184
37.3880167,126.9339833,GGB208000127,평성교회.호정타워,9193
37.3857833,126.9348333,GGB208000128,명학역,9197
37.4261833,126.9027167,GGB208000129,연현초교,9048
37.4171667,126.9083167,GGB208000130,석수현대아파트.관악역,9072
37.3843833,126.9023167,GGB208000132,창박골,9047
37.3849,126.9037333,GGB208000133,현대아파트.안양서중학교,9055
37.3860167,126.9064833,GGB208000134,병목안삼거리,9065
37.3882333,126.9088833,GGB208000135,금용아파트.장은한양아파트,9085
37.39,126.9097833,GGB208000136,뉴골든아파트,9090
37.3925833,126.9094167,GGB208000137,새마을,9087
37.3946667,126.9126333,GGB208000138,프라자아파트.안양예고입구,9107
37.3916833,126.9350667,GGB208000143,은평교회,9198
37.3904167,126.9377,GGB208000144,태광전자,9204
37.3901333,126.9398833,GGB208000145,평촌한신더휴.광신프로그레스,9211
37.3901167,126.9392667,GGB208000146,평촌한신더휴.광신프로그레스,9210
37.3903,126.93785,GGB208000147,태광전자,9203
37.3908833,126.9351,GGB208000148,유토피아,9200
37.3939167,126.9117,GGB208000153,프라자아파트,9101
37.3925,126.9096,GGB208000154,새마을,9086
37.3929,126.9261,GGB208000155,서안양우체국.국제나은병원,9160
37.3963667,126.9231667,GGB208000156,벽산상가.2001아울렛,9151
37.3993167,126.9207333,GGB208000157,안양중앙시장.안양고용센터,9144
37.40145,126.919,GGB208000158,안양시외버스정류소.교보생명.댕리단길,9138
37.4025667,126.9150833,GGB208000159,안양여중고.안양성결교회,9124
37.4024833,126.9113167,GGB208000160,박달사거리.박달문화센터,9099
37.4024667,126.9083,GGB208000161,박달우성아파트,9075
37.4023167,126.9054167,GGB208000162,호현동행정복지센터.한양수자인에듀파크,9058
37.4018833,126.9018,GGB208000163,한라비발디아파트,9038
37.4016667,126.8977667,GGB208000164,한일아파트.삼봉마을,9028
37.4026,126.8961333,GGB208000165,충훈부입구.충훈2교,9024
37.4048167,126.8917667,GGB208000166,노루페인트.대림한숲아파트,9009
37.4048,126.8866167,GGB208000167,호현삼거리,9007
37.4042333,126.88535,GGB208000168,박달주유소,9005
37.40545,126.8905333,GGB208000169,코카콜라물류센터,9008
37.3829667,126.9317,GGB208000170,새마을금고,9183
37.3831,126.9326667,GGB208000171,상록지구,9187
37.3823,126.9306333,GGB208000172,성결대학교,9178
37.3829,126.92895,GGB208000173,수안재,9173
37.3835333,126.9284167,GGB208000174,만안청소년수련관.태양철물,9169
37.3853,126.9273333,GGB208000175,만안평생교육센터,9168
37.3869833,126.9266333,GGB208000176,만안경찰서,9166
37.3891333,126.9256833,GGB208000177,안양세무서,9158
37.3899,126.92535,GGB208000178,소방서,9156
37.4018,126.9110667,GGB208000179,삼성빌라,9094
37.4004333,126.9126333,GGB208000180,진흥아파트,9106
37.39815,126.91325,GGB208000181,정우아파트,9109
